,date,sentiment,open,high,low,close,polarity
0,2022-03-04,neutral,283.033325,285.216675,275.053345,279.429993,negative
3,2022-03-04,negative,283.033325,285.216675,275.053345,279.429993,negative
12,2022-03-03,positive,292.92334,295.480011,277.533325,279.763336,negative
16,2022-03-03,neutral,292.92334,295.480011,277.533325,279.763336,negative
19,2022-03-03,negative,292.92334,295.480011,277.533325,279.763336,negative
42,2022-03-02,positive,290.709991,295.493347,281.42334,293.296661,positive
43,2022-03-02,negative,290.709991,295.493347,281.42334,293.296661,positive
48,2022-03-02,neutral,290.709991,295.493347,281.42334,293.296661,positive
82,2022-03-01,positive,289.893341,296.626678,284.593323,288.123322,negative
86,2022-02-25,positive,269.743347,273.166656,260.799988,269.956665,positive
87,2022-02-25,neutral,269.743347,273.166656,260.799988,269.956665,positive
92,2022-02-25,negative,269.743347,273.166656,260.799988,269.956665,positive
114,2022-02-23,neutral,276.809998,278.433319,253.520004,254.679993,negative
115,2022-02-23,positive,276.809998,278.433319,253.520004,254.679993,negative
121,2022-02-23,negative,276.809998,278.433319,253.520004,254.679993,negative
152,2022-02-22,negative,278.043335,285.57666,267.033325,273.843323,negative
153,2022-02-22,neutral,278.043335,285.57666,267.033325,273.843323,negative
154,2022-02-22,positive,278.043335,285.57666,267.033325,273.843323,negative
206,2022-02-18,neutral,295.333344,295.623322,279.203339,285.660004,negative
208,2022-02-18,positive,295.333344,295.623322,279.203339,285.660004,negative
222,2022-02-17,positive,304.420013,306.166656,291.366669,292.116669,negative
223,2022-02-17,neutral,304.420013,306.166656,291.366669,292.116669,negative
226,2022-02-17,negative,304.420013,306.166656,291.366669,292.116669,negative
240,2022-02-16,neutral,304.683319,308.809998,300.40332,307.796661,positive
241,2022-02-16,negative,304.683319,308.809998,300.40332,307.796661,positive
244,2022-02-15,positive,300.0,307.666656,297.793335,307.476654,positive
245,2022-02-15,neutral,300.0,307.666656,297.793335,307.476654,positive
258,2022-02-14,neutral,287.190002,299.626678,284.383331,291.920013,positive
259,2022-02-14,positive,287.190002,299.626678,284.383331,291.920013,positive
272,2022-02-11,negative,303.209991,305.320007,283.566681,286.666656,negative
273,2022-02-11,positive,303.209991,305.320007,283.566681,286.666656,negative
275,2022-02-11,neutral,303.209991,305.320007,283.566681,286.666656,negative
288,2022-02-10,neutral,302.790009,314.603333,298.899994,301.516663,negative
293,2022-02-10,positive,302.790009,314.603333,298.899994,301.516663,negative
298,2022-02-10,negative,302.790009,314.603333,298.899994,301.516663,negative
314,2022-02-09,positive,311.666656,315.42334,306.666656,310.666656,positive
315,2022-02-09,neutral,311.666656,315.42334,306.666656,310.666656,positive
324,2022-02-08,neutral,301.843323,308.763336,298.266663,307.333344,positive
325,2022-02-08,negative,301.843323,308.763336,298.266663,307.333344,positive
327,2022-02-08,positive,301.843323,308.763336,298.266663,307.333344,positive
344,2022-02-07,negative,307.929993,315.92334,300.90332,302.446655,negative
345,2022-02-07,positive,307.929993,315.92334,300.90332,302.446655,negative
346,2022-02-07,neutral,307.929993,315.92334,300.90332,302.446655,negative
366,2022-02-04,positive,299.073334,312.166656,293.723328,307.773346,positive
367,2022-02-04,neutral,299.073334,312.166656,293.723328,307.773346,positive
375,2022-02-04,negative,299.073334,312.166656,293.723328,307.773346,positive
392,2022-02-03,neutral,294.0,312.333344,293.506653,297.046661,negative
396,2022-02-02,positive,309.393341,310.5,296.470001,301.886658,negative
397,2022-02-02,negative,309.393341,310.5,296.470001,301.886658,negative
399,2022-02-02,neutral,309.393341,310.5,296.470001,301.886658,negative
422,2022-02-01,neutral,311.736664,314.566681,301.666656,310.416656,negative
426,2022-02-01,negative,311.736664,314.566681,301.666656,310.416656,negative
