date,tweet,likes_count,sentiment
2022-03-05,"@SpacePadreIsle In a way, this is free QA haha",4490,positive
2022-03-05,@teslaownersSV A beautiful home for life,15121,positive
2022-03-05,@SpacePadreIsle Some Starlink terminals near conflict areas were being jammed for several hours at a time. Our latest software update bypasses the jamming.  Am curious to see what’s next!,8774,negative
2022-03-05,@RationalEtienne @RogerYar Exactly,2773,positive
2022-03-05,"@RogerYar All news sources are partially propaganda, some more than others",43964,positive
2022-03-05,Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at gunpoint.  Sorry to be a free speech absolutist.,319202,negative
2022-03-05,SpaceX reprioritized to cyber defense &amp; overcoming signal jamming.   Will cause slight delays in Starship &amp; Starlink V2.,85461,negative
2022-03-05,"@MichaelTChiass1 @Cole00708909 Who, me? 🙄",3212,positive
2022-03-05,@ashleevance 🤣,3069,positive
2022-03-05,@GailAlfarATX Exactly,3301,positive
2022-03-05,"And also my sympathies to the great people of Russia, who do not want this",255944,positive
2022-03-05,🇺🇦🇺🇦🇺🇦 Hold Strong Ukraine 🇺🇦🇺🇦🇺🇦,406040,positive
2022-03-05,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously to make up for Russian oil &amp; gas exports.",155206,positive
2022-03-05,"Hate to say it, but we need to increase oil &amp; gas output immediately.   Extraordinary times demand extraordinary measures.",345398,positive
2022-03-05,@RenataKonkoly @MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Haha sure :),3611,positive
2022-03-04,@MLUKBrandenburg @gigafactory_4 @Gf4Tesla @Gruenheide4futr @Stk_Brandenburg Ich möchte mich recht herzlich bedanken. Die Zukunft ist sehr spannend! 🇩🇪 🇩🇪,10119,negative
2022-03-04,@waitbutwhy You will be in the future,40875,positive
2022-03-04,@BLKMDL3 !,14757,positive
2022-03-04,@teslaownersSV @tobyliiiiiiiiii Game on,11739,positive
2022-03-04,"@tobyliiiiiiiiii Almost all Viasat Ukraine user terminals were rendered permanently unusable by a Russian cyberattack on day of invasion, so … yes",9099,positive
2022-03-04,"@shortword @eddyiskongz Yes, provided no metal particles in paint",8538,positive
2022-03-03,@eddyiskongz Place light camouflage over antenna to avoid visual detection,19143,positive
2022-03-03,@eddyiskongz Turn on Starlink only when needed and place antenna away as far away from people as possible,39444,negative
2022-03-03,"Important warning: Starlink is the only non-Russian communications system still working in some parts of Ukraine, so probability of being targeted is high. Please use with caution.",357990,positive
2022-03-03,"@Teslarati @ResidentSponge In class action lawsuits, the actual plaintiff is always the class action law firm. They just find someone willing to serve as a puppet to “represent the class”.",12317,negative
