date,tweet,likes_count
2022-03-05,"['in', 'a', 'way', ',', 'this', 'be', 'free', 'qa', 'haha']",4490
2022-03-05,"['a', 'beautiful', 'home', 'for', 'life']",15121
2022-03-05,"['some', 'starlink', 'terminal', 'near', 'conflict', 'area', 'be', 'be', 'jam', 'for', 'several', 'hour', 'at', 'a', 'time', '.', 'our', 'latest', 'software', 'update', 'bypass', 'the', 'jamming', '.', 'am', 'curious', 'to', 'see', 'what', '’', 's', 'next', '!']",8774
2022-03-05,['exactly'],2773
2022-03-05,"['all', 'news', 'source', 'be', 'partially', 'propaganda', ',', 'some', 'more', 'than', 'others']",43964
2022-03-05,"['starlink', 'have', 'be', 'tell', 'by', 'some', 'government', '(', 'not', 'ukraine', ')', 'to', 'block', 'russian', 'news', 'source', '.', 'we', 'will', 'not', 'do', 'so', 'unless', 'at', 'gunpoint', '.', 'sorry', 'to', 'be', 'a', 'free', 'speech', 'absolutist', '.']",319202
2022-03-05,"['spacex', 'reprioritized', 'to', 'cyber', 'defense', '&', 'amp', ';', 'overcome', 'signal', 'jamming', '.', 'will', 'cause', 'slight', 'delay', 'in', 'starship', '&', 'amp', ';', 'starlink', 'v2', '.']",85461
2022-03-05,"['who', ',', 'me', '?', '🙄']",3212
2022-03-05,['🤣'],3069
2022-03-05,['exactly'],3301
2022-03-05,"['and', 'also', 'my', 'sympathy', 'to', 'the', 'great', 'people', 'of', 'russia', ',', 'who', 'do', 'not', 'want', 'this']",255944
2022-03-05,"['🇺', '🇦', '🇺', '🇦', '🇺', '🇦', 'hold', 'strong', 'ukraine', '🇺', '🇦', '🇺', '🇦', '🇺', '🇦']",406040
2022-03-05,"['obviously', ',', 'this', 'would', 'negatively', 'affect', 'tesla', ',', 'but', 'sustainable', 'energy', 'solution', 'simply', 'can', 'not', 'react', 'instantaneously', 'to', 'make', 'up', 'for', 'russian', 'oil', '&', 'amp', ';', 'gas', 'export', '.']",155206
2022-03-05,"['hate', 'to', 'say', 'it', ',', 'but', 'we', 'need', 'to', 'increase', 'oil', '&', 'amp', ';', 'gas', 'output', 'immediately', '.', 'extraordinary', 'time', 'demand', 'extraordinary', 'measure', '.']",345398
2022-03-05,"['haha', 'sure', ':', ')']",3611
